long_name	short_name
Chlorocebus_sabaeus	chlSab2
Aotus_nancymaae	aotNan1
Callithrix_jacchus	calJac3
Cebus_capucinus	cebCap1
Saimiri_boliviensis	saiBol1
Gorilla_gorilla_gorilla	gorGor5
Homo_sapiens	hg38
Nomascus_leucogenys	nomLeu3
Pan_troglodytes_troglodytes	panTro5
Pongo_abelii	ponAbe2
Cercocebus_torquatus_atys	cerAty1
Macaca_fascicularis	macFas5
Macaca_mulatta	rheMac8
Macaca_nemestrina	macNem1
Mandrillus_leucophaeus	manLeu1
Papio_anubis	papAnu3
Colobus_angolensis	colAng1
Nasalis_larvatus	nasLar1
Rhinopithecus_bieti	rhiBie1
Rhinopithecus_roxellana	rhiRox1
